City,Street Name,Latitude,Longitude
Abadiño,Solokoa kalea,43.1507945,-2.6085325
Abadiño,San Trokaz plaza,43.1521767,-2.6075630
Abadiño,Zeletabe kalea,43.1515896,-2.6095827
Abadiño,Astolabeitia kalea,43.1609849,-2.6129173
Abadiño,Gaztañodi Kalea,43.1534637,-2.6120583
Abadiño,Dendarioka kalea,43.1509458,-2.6102078
Abadiño,Abadiñobeaskoa kalea,43.1540673,-2.6101887
Abadiño,Txanporta plaza,43.1514291,-2.6102695
Abadiño,Trañabarren Etorbidea,43.1659941,-2.6110564
Abadiño,Murueta,43.1691665,-2.6186657
Abadiño,Solaguren Kalea,43.1681914,-2.6126200
Abadiño,San Prudentzio Kalea,43.1669715,-2.6097884
Abadiño,Iturritxo kalea,43.1518964,-2.6111207
Abadiño,Aureliano Letona Kalea,43.1521860,-2.6106292
Abadiño,Solozabal Kalea,43.1506155,-2.6082045
Abadiño,Ferialeku enparantza,43.1500781,-2.6091685
Abadiño,Torresolo Kalea,43.1496001,-2.6089453
Abadiño,Txinurrisolo Kalea,43.1678131,-2.6116496
Abadiño,Torreburu kalea,43.1491399,-2.6105365
Abadiño,Arrankurri kalea,43.1517775,-2.6131057
Abadiño,BI-3333,43.1685227,-2.6104239
Abadiño,Otxandio - Durango errepidea,43.1227463,-2.6540015
Abadiño,Ebanisto Bustintza 'Kirikiño',43.1674178,-2.6201026
Abadiño,Andra Mari kalea,43.1461262,-2.6063230
Abadiño,Etxeazpia kalea,43.1464309,-2.6048191
Abadiño,Kamiñopea kalea,43.1463523,-2.6046951
Abadiño,Olalde kalea,43.1480234,-2.6053612
Abadiño,Arlozabal plaza,43.1462131,-2.6051779
Abadiño,Astola auzoa,43.1581094,-2.6145656
Abadiño,Astola bidea,43.1608205,-2.6164276
Abadiño,Mendiola auzoa,43.1357225,-2.6253892
Abadiño,Abadeortu kalea,43.1516354,-2.6081744
Abadiño,Ferialeku plaza,43.1500500,-2.6088578
Abadiño,Amandresolo kalea,43.1464614,-2.6027651
Abadiño,Casimiro Astola Kalea,43.1601728,-2.6171716
Abadiño,Eulena Kalea,43.1596292,-2.6141282
Abadiño,Matxingoia kalea,43.1584790,-2.6142008
Abadiño,Juan Antonio Untzueta Kalea,43.1677266,-2.6116240
Abadiño,San Andres Kalea,43.1680908,-2.6116652
Abadiño,Laubideta kalea,43.1685074,-2.6089227
Abadiño,Gaztañodi kalea,43.1522894,-2.6108133
Abadiño,Teresa de Lariz kalea,43.1453942,-2.6030009
Abadiño,Eskolakoa kalea,43.1511306,-2.6105504
Abadiño,Ferialeku Kalea,43.1507603,-2.6096412
Abadiño,Alfredo Baeschlin etorbidea,43.1499567,-2.6102597
Abadiño,Muntsaratz auzoa,43.1440094,-2.6110589
Atxondo,Txoko kalea,43.1321239,-2.5838356
Atxondo,Zumalegi kalea,43.1304049,-2.5829164
Atxondo,Udaletxe kalea,43.1299638,-2.5841757
Atxondo,Txoko kalea,43.1321239,-2.5838356
Atxondo,Ziarreta kalea,43.1300034,-2.5831531
Atxondo,Markoida kalea,43.1323472,-2.5847925
Atxondo,Udaletxe kalea,43.1299638,-2.5841757
Atxondo,Udaletxe kalea,43.1299638,-2.5841757
Atxondo,Txoko kalea,43.1321239,-2.5838356
Atxondo,Apartamonasterio kalea,43.1319171,-2.5863959
Atxondo,Ziarreta kalea,43.1300034,-2.5831531
Atxondo,Txoko kalea,43.1321239,-2.5838356
Atxondo,Ziarreta kalea,43.1300034,-2.5831531
Atxondo,Ziarreta kalea,43.1300034,-2.5831531
Atxondo,Markoida kalea,43.1323472,-2.5847925
Atxondo,Udaletxe kalea,43.1299638,-2.5841757
Atxondo,Zumalegi kalea,43.1304049,-2.5829164
Atxondo,Markoida kalea,43.1323472,-2.5847925
Atxondo,Markoida kalea,43.1323472,-2.5847925
Atxondo,Ziarreta kalea,43.1300034,-2.5831531
Berriz,Gabiola kalea,43.1721694,-2.5768021
Berriz,Arkaraz Kalea,43.1685568,-2.5741510
Berriz,Sagarminaga,43.1692539,-2.5515007
Berriz,Geltoki kalea,43.1683884,-2.5746746
